iter	Passed	Remaining
0	2	233
1	4	222
2	6	224
3	9	230
4	11	227
5	14	221
6	16	214
7	18	208
8	20	204
9	22	203
10	25	203
11	27	201
12	29	199
13	32	197
14	34	194
15	36	190
16	38	187
17	40	186
18	43	183
19	45	181
20	47	178
21	49	175
22	51	173
23	54	172
24	57	171
25	59	169
26	61	166
27	63	164
28	66	161
29	68	159
30	70	156
31	73	155
32	75	153
33	77	151
34	80	149
35	82	147
36	85	145
37	87	143
38	90	141
39	92	138
40	95	136
41	97	135
42	100	132
43	102	130
44	104	128
45	107	125
46	109	123
47	111	120
48	113	118
49	116	116
50	118	114
51	121	112
52	124	109
53	126	107
54	129	105
55	132	103
56	135	102
57	143	103
58	146	101
59	148	99
60	151	96
61	153	94
62	156	91
63	158	88
64	159	86
65	162	83
66	164	80
67	166	78
68	168	75
69	171	73
70	173	70
71	175	68
72	177	65
73	179	63
74	181	60
75	183	58
76	186	55
77	188	53
78	190	50
79	192	48
80	194	45
81	196	43
82	199	40
83	201	38
84	204	36
85	206	33
86	208	31
87	210	28
88	212	26
89	215	23
90	217	21
91	219	19
92	222	16
93	224	14
94	226	11
95	228	9
96	230	7
97	233	4
98	235	2
99	238	0
