FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,max value received,avg val received,min val sent,max val sent,avg val sent,total ether balance,ERC20 total Ether sent contract,ERC20 min val rec
0,844.26,1093.71,704785.63,0,40,118,0.0,45.806785,6.589513,0.0,31.22,1.200681,-279.2244185,0.0,0.0
0,12709.07,2958.44,1218216.73,0,5,14,0.0,2.613269,0.385685,0.0,1.8,0.032844,-0.001818811,0.0,0.0
0,246194.54,2434.02,516729.3,0,10,2,0.113119,1.165453,0.358906,0.05,3.538616,1.7943080000000002,0.000441,0.0,0.0
0,10219.6,15785.09,397555.9,0,7,13,0.0,500.0,99.48884,0.0,450.0,70.001834,-854.6463028999998,0.0,0.0
0,36.61,10707.77,382472.42,1,7,19,0.0,12.802411,2.671095,0.0,9.0,0.022688,-50.89698629,0.0,0.0
0,9900.12,375.48,20926.68,0,2,1,0.7241479999999999,4.813776,3.2349080000000003,4.1668,5.5369160000000015,4.851858,0.001008,0.0,0.0
0,69.46,629.44,8660.35,0,9,20,0.049,2.65,1.098115,0.009457,4.284785,0.482496,0.016871896,0.0,0.0
0,1497.39,176.84,319828.05,0,3,3,0.11849,2.0,0.891098,0.0,0.7,0.040861,-4.2479024160000005,0.0,0.0
0,0.0,0.0,496.62,0,1,1,2.0,2.0,2.0,1.99938,1.99938,1.99938,0.00062,0.0,0.0
0,2570.59,3336.01,30572.7,0,2,4,0.1,40.0,16.7,0.1,40.0,18.634625,-98.977,0.0,600.0
0,32.45,12921.57,129540.15,0,2,1,1.000052,1.014875,1.004819,0.999088,1.01417,1.004055,0.007636018,0.0,0.0
0,3716.41,1448.09,385961.98,0,4,3,0.118061,81.38600000000002,3.381313,0.01,300.0,103.974875,0.004047714,0.0,0.0
0,0.0,12431.27,198900.25,1,4,0,0.0,1.002069,0.769166,0.0,0.0,0.0,12.30665958,0.0,0.0753669999999999
0,9520.7,5776.32,78197.58,0,2,4,0.095,0.265159,0.180079,0.0,0.133441,0.037563,0.097217423,0.0,0.001
